;;;;;t;r1;r2;n;;;;;t;r1;r2;n;;;;;;;t;r1;r2;n;d1;d2;alpha;
21;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;21;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;21;THORLABS;LA1031-A;101,651394;27;4,73;51,5;1E+12;1,506633485;17,39041331;13,77354694;6,80E-06;0,046853
22;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;22;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;22;THORLABS;LA1238-A;101,651394;67,5;19,19;51,5;1E+12;1,506633485;17,39050726;13,76705724;6,80E-06;0,046856
23;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;23;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;23;THORLABS;LA1238;101,651394;67,5;19,19;51,5;1E+12;1,506633485;17,39050726;13,76705724;6,80E-06;0,046856
24;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;24;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;24;THORLABS;LA1050;101,651394;45,72;9,69;51,5;1E+12;1,506633485;17,39044727;13,77120122;6,80E-06;0,046854
25;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;25;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;25;THORLABS;LA1207;101,651394;11,43;2,19;51,5;1E+12;1,506633485;17,39040155;13,77435946;6,80E-06;0,046852
26;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;26;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;26;THORLABS;LB1676-A;101,6568021;22,86;3,58;102,4;-102,4;1,506633485;17,3907967;12,59155793;4,14E-06;0,04661
27;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;27;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;27;THORLABS;LB1187-C;101,6608089;11,43;2,19;102,64;-102,64;1,506633485;17,39061006;13,0507154;5,96E-06;0,046604
28;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;28;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;28;THORLABS;LE1234;101,6924187;22,86;3,59;32,14;82,23;1,506633485;17,39175844;15,30818695;-4,94E-07;0,047526
29;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;29;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;29;THORLABS;LE1076-C;101,7634882;45,72;9,7;30,34;65,8;1,506633485;17,39433382;18,95789565;-1,64E-05;0,047867
30;THORLABS;LB1757;30,47703624;22,86;7,74;29,52;-29,52;1,506633485;30;THORLABS;LC2067-A;-9,285140611;6,757;2;-7;1E+12;1,75389273;30;THORLABS;LB4821;102,2891609;45,72;10,29;90,36;-90,36;1,44962979;17,3982359;10,34431619;-3,91E-07;0,046884
